date,ag_prices,cattle,cattle_feed,census_hort,cold_stor,crop_prog_cond,dairy_prod,hop_stocks,live_slaughter,local_foods,rice_stocks,organic
01/01/19,,,,,,,,,,,,
01/02/19,,,,,,,,,,,,
01/03/19,,,,,,,,,,,,
01/04/19,,,,,,,,,,,,
01/05/19,,,,,,,,,,,,
01/06/19,,,,,,,,,,,,
01/07/19,,,,,,,,,,,,
01/08/19,,,,,,,,,,,,
01/09/19,,,,,,,,,,,,
01/10/19,,,,,,,,,,,,
01/11/19,,,,,,,,,,,1,
01/12/19,,,,,,,,,,,,
01/13/19,,,,,,,,,,,,
01/14/19,,,,,,,,,,,,
01/15/19,,,,,,,,,,,,
01/16/19,,,,,,,,,,,,
01/17/19,,,,,,,,,,,,
01/18/19,,,,,,,,,,,,
01/19/19,,,,,,,,,,,,
01/20/19,,,,,,,,,,,,
01/21/19,,,,,,,,,,,,
01/22/19,,,,,1,,,,,,,
01/23/19,,,,,,,,,,,,
01/24/19,,,,,,,,,1,,,
01/25/19,,,1,,,,,,,,,
01/26/19,,,,,,,,,,,,
01/27/19,,,,,,,,,,,,
01/28/19,,,,,,,,,,,,
01/29/19,,,,,,,,,,,,
01/30/19,,,,,,,,,,,,
01/31/19,1,,,,,,,,,,,
02/01/19,,,,,,,,,,,,
02/02/19,,,,,,,,,,,,
02/03/19,,,,,,,,,,,,
02/04/19,,,,,,,1,,,,,
02/05/19,,,,,,,,,,,,
02/06/19,,,,,,,,,,,,
02/07/19,,,,,,,,,,,,
02/08/19,,,,,,,,,,,,
02/09/19,,,,,,,,,,,,
02/10/19,,,,,,,,,,,,
02/11/19,,,,,,,,,,,,
02/12/19,,,,,,,,,,,,
02/13/19,,,,,,,,,,,,
02/14/19,,,,,,,,,,,,
02/15/19,,,,,,,,,,,,
02/16/19,,,,,,,,,,,,
02/17/19,,,,,,,,,,,,
02/18/19,,,,,,,,,,,,
02/19/19,,,,,,,,,,,,
02/20/19,,,,,,,,,,,,
02/21/19,,,,,,,,,1,,,
02/22/19,,,1,,1,,,,,,,
02/23/19,,,,,,,,,,,,
02/24/19,,,,,,,,,,,,
02/25/19,,,,,,,,,,,,
02/26/19,,,,,,,,,,,,
02/27/19,,,,,,,,,,,,
02/28/19,1,,,,,,,,,,,
03/01/19,,,,,,,,,,,,
03/02/19,,,,,,,,,,,,
03/03/19,,,,,,,,,,,,
03/04/19,,,,,,,1,,,,,
03/05/19,,1,,,,,,,,,1,
03/06/19,,,,,,,,,,,,
03/07/19,,,,,,,,,,,,
03/08/19,,,,,,,,,,,,
03/09/19,,,,,,,,,,,,
03/10/19,,,,,,,,,,,,
03/11/19,,,,,,,,,,,,
03/12/19,,,,,,,,,,,,
03/13/19,,,,,,,,,,,,
03/14/19,,,,,,,,1,,,,
03/15/19,,,,,,,,,,,,
03/16/19,,,,,,,,,,,,
03/17/19,,,,,,,,,,,,
03/18/19,,,,,,,,,,,,
03/19/19,,,,,,,,,,,,
03/20/19,,,,,,,,,,,,
03/21/19,,,,,,,,,,,,
03/22/19,,,1,,,,,,,,,
03/23/19,,,,,,,,,,,,
03/24/19,,,,,,,,,,,,
03/25/19,,,,,,,,,,,,
03/26/19,,,,,,,,,,,,
03/27/19,,,,,,,,,,,,
03/28/19,1,,,,,,,,,,,
03/29/19,,,,,,,,,,,1,
03/30/19,,,,,,,,,,,,
03/31/19,,,,,,,,,,,,
04/01/19,,,,,,,,,,,,
04/02/19,,,,,,,,,,,,
04/03/19,,,,,,,1,,,,,
04/04/19,,,,,,,,,,,,
04/05/19,,,,,,,,,,,,
04/06/19,,,,,,,,,,,,
04/07/19,,,,,,,,,,,,
04/08/19,,,,,,,,,,,,
04/09/19,,,,,,,,,,,,
04/10/19,,,,,,,,,,,,
04/11/19,,,,,,,,,,,,
04/12/19,,,,,,,,,,,,
04/13/19,,,,,,,,,,,,
04/14/19,,,,,,,,,,,,
04/15/19,,,,,,1,,,,,,
04/16/19,,,,,,,,,,,,
04/17/19,,,,,,,,,,,,
04/18/19,,,1,,,,,,,,,
04/19/19,,,,,,,,,,,,
04/20/19,,,,,,,,,,,,
04/21/19,,,,,,,,,,,,
04/22/19,1,,,,,1,,,,,,
04/23/19,,,,,,,,,,,,
04/24/19,,,,,,,,,,,,
04/25/19,,,,,,,,,,,,
04/26/19,,,,,,,,,,,,
04/27/19,,,,,,,,,,,,
04/28/19,,,,,,,,,,,,
04/29/19,,,,,,1,,,,,1,
04/30/19,1,,,,,,,,,,,
05/01/19,,,,,,,,,,,,
05/02/19,,,,,,,1,,,,,
05/03/19,,,,,,,,,,,,
05/04/19,,,,,,,,,,,,
05/05/19,,,,,,,,,,,,
05/06/19,,,,,,1,,,,,,
05/07/19,,,,,,,,,,,,
05/08/19,,,,,,,,,,,,
05/09/19,,,,,,,,,,,,
