"","date.x","ag_prices","cattle","cattle_feed","census_hort","cold_stor","crop_prog_cond","dairy_prod","hop_stocks","live_slaughter","local_foods","rice_stocks","organic","ddate","date.y","geo.x","time.x","gprop.x","category","gtw_ag_prices","gtw_cattle","gtw_cattle_feed","gtw_cold_stor","gtw_crop_prog_cond","gtw_dairy_prod","gtw_hop_stocks","gtw_live_slaughter","gtw_local_foods","gtw_rice_stocks","date.x.x","geo.y","time.y","gprop.y","gtn_cattle","gtn_cold_stor","gtn_crop_prod_cond","gtn_dairy_prod","gtn_local_foods","date.y.y","red_ag_prices","red_cattle","red_census_hort","red_cert_org","red_cold_stor","red_crop_prog_cond","red_dairy_prod","red_local_foods","tdate","cattle100"
"1","01/01/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-31 19:00:00,NA
"2","01/02/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-01 19:00:00,NA
"3","01/03/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-02 19:00:00,NA
"4","01/04/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-03 19:00:00,NA
"5","01/05/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-04 19:00:00,NA
"6","01/06/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-06,"1/6/2019","US","2018-11-01 2020-11-01","web",0,NA,82,2,71,1,77,NA,NA,2,1,"1/6/2019","US","2018-11-01 2020-11-01","news",28,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-05 19:00:00,NA
"7","01/07/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-06 19:00:00,NA
"8","01/08/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-07 19:00:00,NA
"9","01/09/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-08 19:00:00,NA
"10","01/10/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-09 19:00:00,NA
"11","01/11/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2019-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/11/2019",NA,3,NA,NA,NA,NA,NA,NA,2019-01-10 19:00:00,NA
"12","01/12/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-11 19:00:00,NA
"13","01/13/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-13,"1/13/2019","US","2018-11-01 2020-11-01","web",0,NA,79,NA,66,NA,86,NA,2,3,1,"1/13/2019","US","2018-11-01 2020-11-01","news",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-12 19:00:00,NA
"14","01/14/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-13 19:00:00,NA
"15","01/15/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-14 19:00:00,NA
