date,geo,time,gprop,gtn_cattle,gtn_cold_stor,gtn_crop_prod_cond,gtn_dairy_prod,gtn_local_foods
11/4/2018,US,2018-11-01 2020-11-01,news,59,,,,
11/11/2018,US,2018-11-01 2020-11-01,news,55,,,,
11/18/2018,US,2018-11-01 2020-11-01,news,33,,,,
11/25/2018,US,2018-11-01 2020-11-01,news,28,,,,
12/2/2018,US,2018-11-01 2020-11-01,news,,67,,,
12/16/2018,US,2018-11-01 2020-11-01,news,31,,,,
12/23/2018,US,2018-11-01 2020-11-01,news,57,,,,
12/30/2018,US,2018-11-01 2020-11-01,news,32,80,,,
1/6/2019,US,2018-11-01 2020-11-01,news,28,70,,,
1/13/2019,US,2018-11-01 2020-11-01,news,27,,,,
1/20/2019,US,2018-11-01 2020-11-01,news,27,,,,
1/27/2019,US,2018-11-01 2020-11-01,news,55,,,,28
2/3/2019,US,2018-11-01 2020-11-01,news,40,,,,
2/10/2019,US,2018-11-01 2020-11-01,news,28,,,,
2/17/2019,US,2018-11-01 2020-11-01,news,55,69,,,
2/24/2019,US,2018-11-01 2020-11-01,news,27,,,,
3/3/2019,US,2018-11-01 2020-11-01,news,58,,,,
3/10/2019,US,2018-11-01 2020-11-01,news,27,68,,,
3/17/2019,US,2018-11-01 2020-11-01,news,86,,,,
3/24/2019,US,2018-11-01 2020-11-01,news,30,,,,
3/31/2019,US,2018-11-01 2020-11-01,news,,,,99,
4/14/2019,US,2018-11-01 2020-11-01,news,29,,,,
4/21/2019,US,2018-11-01 2020-11-01,news,30,,,,
4/28/2019,US,2018-11-01 2020-11-01,news,30,,76,,
5/5/2019,US,2018-11-01 2020-11-01,news,30,76,,,
5/19/2019,US,2018-11-01 2020-11-01,news,62,,,,
5/26/2019,US,2018-11-01 2020-11-01,news,63,,,,
6/2/2019,US,2018-11-01 2020-11-01,news,30,,,,
6/9/2019,US,2018-11-01 2020-11-01,news,59,,,,
6/16/2019,US,2018-11-01 2020-11-01,news,30,,,,
6/23/2019,US,2018-11-01 2020-11-01,news,,77,,,
7/14/2019,US,2018-11-01 2020-11-01,news,45,,,,
7/21/2019,US,2018-11-01 2020-11-01,news,30,,,100,
7/28/2019,US,2018-11-01 2020-11-01,news,30,76,,,
8/4/2019,US,2018-11-01 2020-11-01,news,29,,,,
8/11/2019,US,2018-11-01 2020-11-01,news,76,,,,
8/25/2019,US,2018-11-01 2020-11-01,news,42,,,,
9/1/2019,US,2018-11-01 2020-11-01,news,27,,,,
9/8/2019,US,2018-11-01 2020-11-01,news,28,,,,
9/15/2019,US,2018-11-01 2020-11-01,news,28,69,,,
9/22/2019,US,2018-11-01 2020-11-01,news,27,,,,
10/6/2019,US,2018-11-01 2020-11-01,news,57,,,,
10/20/2019,US,2018-11-01 2020-11-01,news,27,,,,
10/27/2019,US,2018-11-01 2020-11-01,news,41,,,,
11/3/2019,US,2018-11-01 2020-11-01,news,28,,,,
11/10/2019,US,2018-11-01 2020-11-01,news,42,,,,
11/17/2019,US,2018-11-01 2020-11-01,news,28,71,,,
11/24/2019,US,2018-11-01 2020-11-01,news,33,,,,
12/1/2019,US,2018-11-01 2020-11-01,news,30,,,,
12/8/2019,US,2018-11-01 2020-11-01,news,30,,,,
12/15/2019,US,2018-11-01 2020-11-01,news,45,75,,,
12/29/2019,US,2018-11-01 2020-11-01,news,31,,,,
1/12/2020,US,2018-11-01 2020-11-01,news,53,,,,
1/19/2020,US,2018-11-01 2020-11-01,news,41,,,,
1/26/2020,US,2018-11-01 2020-11-01,news,54,54,,70,
2/9/2020,US,2018-11-01 2020-11-01,news,51,,,,
2/16/2020,US,2018-11-01 2020-11-01,news,25,,,,
2/23/2020,US,2018-11-01 2020-11-01,news,34,,,,
3/1/2020,US,2018-11-01 2020-11-01,news,20,,,,
3/8/2020,US,2018-11-01 2020-11-01,news,13,,,,
3/15/2020,US,2018-11-01 2020-11-01,news,33,,,36,
3/22/2020,US,2018-11-01 2020-11-01,news,14,,,,
3/29/2020,US,2018-11-01 2020-11-01,news,16,,,,16
4/5/2020,US,2018-11-01 2020-11-01,news,18,,,,
4/12/2020,US,2018-11-01 2020-11-01,news,38,,,,
4/19/2020,US,2018-11-01 2020-11-01,news,37,,,,
4/26/2020,US,2018-11-01 2020-11-01,news,29,,,,
5/3/2020,US,2018-11-01 2020-11-01,news,100,100,,,
5/10/2020,US,2018-11-01 2020-11-01,news,41,,,,
5/17/2020,US,2018-11-01 2020-11-01,news,21,,,,
5/24/2020,US,2018-11-01 2020-11-01,news,21,,,,
5/31/2020,US,2018-11-01 2020-11-01,news,15,38,,,15
6/7/2020,US,2018-11-01 2020-11-01,news,21,,,,
6/21/2020,US,2018-11-01 2020-11-01,news,22,,,,
7/5/2020,US,2018-11-01 2020-11-01,news,54,,,,
7/12/2020,US,2018-11-01 2020-11-01,news,43,53,,,
7/19/2020,US,2018-11-01 2020-11-01,news,22,55,,,
7/26/2020,US,2018-11-01 2020-11-01,news,22,,,,
8/2/2020,US,2018-11-01 2020-11-01,news,22,,,72,
8/9/2020,US,2018-11-01 2020-11-01,news,23,,,,
8/16/2020,US,2018-11-01 2020-11-01,news,22,,,,
8/23/2020,US,2018-11-01 2020-11-01,news,21,52,,,
8/30/2020,US,2018-11-01 2020-11-01,news,88,,,,
9/13/2020,US,2018-11-01 2020-11-01,news,84,52,,68,
9/20/2020,US,2018-11-01 2020-11-01,news,23,,,,
9/27/2020,US,2018-11-01 2020-11-01,news,24,59,,,
10/4/2020,US,2018-11-01 2020-11-01,news,,60,,,
10/11/2020,US,2018-11-01 2020-11-01,news,,66,,,
10/18/2020,US,2018-11-01 2020-11-01,news,84,,,,
10/25/2020,US,2018-11-01 2020-11-01,news,27,,,,27
11/1/2020,US,2018-11-01 2020-11-01,news,19,48,,,
