date,geo,time,gprop,category,gtw_ag_prices,gtw_cattle,gtw_cattle_feed,gtw_cold_stor,gtw_crop_prog_cond,gtw_dairy_prod,gtw_hop_stocks,gtw_live_slaughter,gtw_local_foods,gtw_rice_stocks
11/4/2018,US,2018-11-01 2020-11-01,web,0,,80,2,58,3,78,,2,2,1
11/11/2018,US,2018-11-01 2020-11-01,web,0,,76,1,67,2,69,,,2,1
11/18/2018,US,2018-11-01 2020-11-01,web,0,,70,6,56,4,53,,2,2,1
11/25/2018,US,2018-11-01 2020-11-01,web,0,,80,3,77,2,87,,2,2,
12/2/2018,US,2018-11-01 2020-11-01,web,0,,78,5,62,1,76,,4,2,
12/9/2018,US,2018-11-01 2020-11-01,web,0,,76,4,68,,70,2,,3,1
12/16/2018,US,2018-11-01 2020-11-01,web,0,,75,4,61,1,56,,2,2,1
12/23/2018,US,2018-11-01 2020-11-01,web,0,,65,2,46,3,43,2,,2,3
12/30/2018,US,2018-11-01 2020-11-01,web,0,,71,1,63,,68,2,,2,1
1/6/2019,US,2018-11-01 2020-11-01,web,0,,82,2,71,1,77,,,2,1
1/13/2019,US,2018-11-01 2020-11-01,web,0,,79,,66,,86,,2,3,1
1/20/2019,US,2018-11-01 2020-11-01,web,0,,82,3,67,1,79,2,2,3,1
1/27/2019,US,2018-11-01 2020-11-01,web,0,,85,4,78,2,68,,2,2,1
2/3/2019,US,2018-11-01 2020-11-01,web,0,,82,3,75,,73,2,5,2,
2/10/2019,US,2018-11-01 2020-11-01,web,0,,84,3,66,2,77,2,2,2,2
2/17/2019,US,2018-11-01 2020-11-01,web,0,,81,7,68,,72,2,2,2,
2/24/2019,US,2018-11-01 2020-11-01,web,0,,87,2,68,,68,,2,3,2
3/3/2019,US,2018-11-01 2020-11-01,web,0,,89,5,58,,91,,2,2,1
3/10/2019,US,2018-11-01 2020-11-01,web,0,,83,2,67,1,65,,2,2,
3/17/2019,US,2018-11-01 2020-11-01,web,0,,86,8,63,,75,,2,2,1
3/24/2019,US,2018-11-01 2020-11-01,web,0,,87,3,65,1,71,,,3,
3/31/2019,US,2018-11-01 2020-11-01,web,0,,87,4,62,,100,2,3,2,1
4/7/2019,US,2018-11-01 2020-11-01,web,0,,86,1,59,2,91,2,6,3,2
4/14/2019,US,2018-11-01 2020-11-01,web,0,,80,3,71,2,78,,2,3,1
4/21/2019,US,2018-11-01 2020-11-01,web,0,,84,2,64,2,74,,3,2,
4/28/2019,US,2018-11-01 2020-11-01,web,0,,80,2,64,3,78,,2,2,
5/5/2019,US,2018-11-01 2020-11-01,web,0,,85,2,61,3,76,,2,2,1
5/12/2019,US,2018-11-01 2020-11-01,web,0,,80,2,68,7,61,2,4,2,1
5/19/2019,US,2018-11-01 2020-11-01,web,0,,74,7,66,14,55,,2,2,
5/26/2019,US,2018-11-01 2020-11-01,web,0,,68,2,72,15,71,,4,2,1
6/2/2019,US,2018-11-01 2020-11-01,web,0,,74,1,75,13,95,,,3,1
6/9/2019,US,2018-11-01 2020-11-01,web,0,,70,1,79,15,81,,3,3,4
6/16/2019,US,2018-11-01 2020-11-01,web,0,,70,4,72,10,65,,,2,1
6/23/2019,US,2018-11-01 2020-11-01,web,0,,72,2,71,10,54,,2,2,1
6/30/2019,US,2018-11-01 2020-11-01,web,0,,70,1,59,4,48,2,3,2,
7/7/2019,US,2018-11-01 2020-11-01,web,0,,73,1,100,8,60,2,,2,
7/14/2019,US,2018-11-01 2020-11-01,web,0,,72,4,77,6,57,,3,2,2
7/21/2019,US,2018-11-01 2020-11-01,web,0,,70,2,70,1,54,,,2,1
7/28/2019,US,2018-11-01 2020-11-01,web,0,,80,1,67,4,56,,4,2,1
8/4/2019,US,2018-11-01 2020-11-01,web,0,,74,1,80,4,56,2,,2,1
8/11/2019,US,2018-11-01 2020-11-01,web,0,,80,2,87,5,54,2,4,2,
8/18/2019,US,2018-11-01 2020-11-01,web,0,,85,4,63,5,57,2,5,2,1
8/25/2019,US,2018-11-01 2020-11-01,web,0,,80,2,76,4,64,,4,2,
9/1/2019,US,2018-11-01 2020-11-01,web,0,,75,3,69,1,91,2,,2,
9/8/2019,US,2018-11-01 2020-11-01,web,0,,84,2,76,3,72,2,2,1,1
9/15/2019,US,2018-11-01 2020-11-01,web,0,,83,5,65,4,75,,2,2,
9/22/2019,US,2018-11-01 2020-11-01,web,0,,83,3,72,2,68,,3,2,1
9/29/2019,US,2018-11-01 2020-11-01,web,0,,82,4,69,2,81,,2,2,
10/6/2019,US,2018-11-01 2020-11-01,web,0,,86,3,63,2,77,,2,2,2
10/13/2019,US,2018-11-01 2020-11-01,web,0,,79,2,60,2,72,2,,2,1
10/20/2019,US,2018-11-01 2020-11-01,web,0,,82,4,67,4,83,,2,2,1
