date,red_ag_prices,red_cattle,red_census_hort,red_cert_org,red_cold_stor,red_crop_prog_cond,red_dairy_prod,red_local_foods,red_outlier
1/11/2019,,3,,,,,,,
1/18/2019,,5,,,,,,,
1/19/2019,,2,,,,,,,
1/20/2019,,1,,,,,,,
1/21/2019,,4,,,,,,,
1/22/2019,,2,,,,,,,
1/29/2019,,6,,,,,,,
1/30/2019,,11,,,,,,,
2/1/2019,,1,,,,,,,
2/4/2019,,5,,,,,,,
2/5/2019,,3,,,,,,,
2/10/2019,,5,,,,,,,
2/11/2019,,10,,,,,,,
2/12/2019,,13,,,,,,,
2/13/2019,,109,,,,,,,
2/17/2019,,13,,,,,,,
2/18/2019,,1,,,,,,,
2/19/2019,,,,,18,,,,
2/20/2019,,,,,6,,,,
2/22/2019,,2,,,,,,,
2/23/2019,,2,,,,,,,
2/24/2019,,2,,,,,,,
2/26/2019,,8,,,,,,,
2/27/2019,,4,,,,,,,
3/1/2019,,4,,,,,,,
3/2/2019,,6,,,,,,,
3/3/2019,,9,,,,,,,
3/4/2019,,2,,,,,,,
3/11/2019,,1,,,,,,,
3/12/2019,,5,,,,,,,
3/14/2019,,,26,,,26,,,
3/15/2019,,,7,,,7,,,
3/16/2019,,1,5,,,5,,,
3/18/2019,,,1,,,1,,,
3/23/2019,,1,,,,,,,
3/24/2019,,8,,,,,,,
3/29/2019,,4,,,,,,,
4/4/2019,,13,,,,,,,
4/5/2019,,1,,,,,,,
4/13/2019,,3,,,,,,,
4/14/2019,,3,,,,,,,
4/15/2019,,2,,,,,,,
4/16/2019,,4,,,,,,,
4/17/2019,,1,,,,,,,
4/18/2019,,2,,,,,,,
4/22/2019,,4,,,,,,,
4/23/2019,,7,,,,,,,
4/27/2019,,6,,,,,,,
4/30/2019,,3,,,,,,,
5/13/2019,,1,,,,,,,
5/14/2019,,2,,,,,,,
5/15/2019,,2,,,,,,,
5/17/2019,,4,,,,,,,
5/24/2019,,,,,,,2,,
5/25/2019,,7,,,,,4,,
5/26/2019,,5,,,,,1,,
5/27/2019,,5,,,,,,,
5/29/2019,,1,,,,,,,
6/5/2019,,13,,,,,,,
6/6/2019,,2,,,,,,,
6/7/2019,,6,,,,,,,
6/12/2019,,4,,,,,,,
6/30/2019,,9,,,,,,,
7/3/2019,,14,,,,,,,
7/4/2019,,1000,,,,,,,1
7/5/2019,,601,,,,,,,
7/6/2019,,200,,,,,,,
7/7/2019,,21,,,,,,,
7/8/2019,,15,,,,,,,
7/9/2019,,52,,,,,,,
7/10/2019,,36,,,,,,,
7/13/2019,,6,,,,,,,
7/14/2019,,9,,,,,,,
7/15/2019,,11,,,,,,,
7/16/2019,,1,,,,,,,
7/20/2019,,8,,,,,,,
7/22/2019,,5,,,,,,,
7/23/2019,,2,,,,,,,
7/25/2019,,12,,8,,,,,
7/26/2019,,2,,12,,,,,
7/27/2019,,1,,1,,,,,
7/28/2019,,4,,,,,,,
7/30/2019,,1,,,,,,,
8/6/2019,,8,,,,,,,
8/19/2019,,10,,,,,,,
8/20/2019,,1,,,,,,,
8/21/2019,,1,,,,,,,
8/31/2019,,1,,,,,,,
9/1/2019,,1,,,,,,,
9/2/2019,,1,,,,,4,,
9/4/2019,,12,,,,,,,
9/5/2019,,2,,,,,,,
9/6/2019,,1,,,,,,,
9/9/2019,,1,,,,,,,
9/10/2019,,1,,,,,,,
9/12/2019,,13,,,,,,,
9/13/2019,,1,,,,,,,
9/15/2019,,1,,,,,,,
9/19/2019,,1,,,,,,,
9/20/2019,,9,,,,,,,
9/23/2019,,4,,,,,,,
9/26/2019,,1,,,,,,,
9/28/2019,,1,,,,,,,
